Kind,Name,CountClassDerived,CountDeclMethodAll,CountDeclMethod,CountLine,CountLineCode,CountLineComment,MaxInheritanceTree,RatioCommentToCode,PercentLackOfCohesion
File,"MqttV3Executor.java",,,12,290,197,51,,0.26,
File,"MqttV3Publish.java",,,8,87,58,0,,0.00,
File,"MqttV3Receiver.java",,,16,455,295,99,,0.34,
File,"MqttV3Subscribe.java",,,4,39,27,0,,0.00,
File,"MqttV5Connection.java",,,5,98,69,12,,0.17,
File,"MqttV5Executor.java",,,15,273,191,50,,0.26,
File,"MqttV5Publish.java",,,8,87,58,0,,0.00,
File,"MqttV5Receiver.java",,,20,475,301,107,,0.36,
File,"MqttV5Subscribe.java",,,4,36,27,0,,0.00,
File,"MqttWireMessage.java",,,25,417,247,128,,0.52,
File,"MqttWireMessage.java",,,25,443,269,130,,0.48,
File,"MultiByteArrayInputStream.java",,,2,57,35,16,,0.46,
File,"MultiByteArrayInputStream.java",,,2,56,35,15,,0.43,
File,"MultiByteInteger.java",,,4,48,18,25,,1.39,
File,"NetworkModule.java",,,5,35,12,15,,1.25,
File,"NetworkModule.java",,,5,104,12,84,,7.00,
File,"NetworkModuleFactory.java",,,3,55,11,38,,3.45,
File,"NetworkModuleFactory.java",,,3,56,12,38,,3.17,
File,"NetworkModuleService.java",,,5,154,87,59,,0.68,
File,"NetworkModuleService.java",,,5,154,87,59,,0.68,
File,"NetworkModuleServiceTest.java",,,8,101,78,18,,0.23,
File,"NetworkModuleServiceTest.java",,,8,107,84,18,,0.21,
File,"ObjectFormatter.java",,,19,273,161,84,,0.52,
File,"ObjectFormatter.java",,,19,273,161,84,,0.52,
File,"OfflineBufferingTest.java",,,8,511,351,96,,0.27,
File,"OfflineBufferingTest.java",,,9,539,373,93,,0.25,
File,"PerSubscriptionMessageHandlerTest.java",,,9,369,215,69,,0.32,
File,"PersistanceFileFilter.java",,,2,18,12,0,,0.00,
File,"PersistanceFileNameFilter.java",,,2,18,12,0,,0.00,
File,"PersistenceFileFilter.java",,,2,18,12,0,,0.00,
File,"PersistenceFileNameFilter.java",,,2,18,12,0,,0.00,
File,"PersistenceTests.java",,,1,71,47,8,,0.17,
File,"PubPanel.java",,,10,382,220,113,,0.51,
File,"PublishTests.java",,,4,140,109,5,,0.05,
File,"ReceivedMessageImpl.java",,,4,36,27,0,,0.00,
File,"ResourceBundleCatalog.java",,,2,37,16,16,,1.00,
File,"ResourceBundleCatalog.java",,,2,37,16,16,,1.00,
File,"SSLNetworkModule.java",,,10,162,96,48,,0.50,
File,"SSLNetworkModule.java",,,10,165,98,48,,0.49,
File,"SSLNetworkModuleFactory.java",,,3,87,63,18,,0.29,
File,"SSLNetworkModuleFactory.java",,,3,88,64,18,,0.28,
File,"SSLSessionResumptionTest.java",,,5,184,111,43,,0.39,
File,"SSLSocketFactoryFactory.java",,,34,1359,495,778,,1.57,
File,"SSLSocketFactoryFactory.java",,,34,1359,495,778,,1.57,
File,"Sample.java",,,9,396,213,147,,0.69,
File,"SampleAsyncCallBack.java",,,27,655,416,184,,0.44,
File,"SampleAsyncWait.java",,,9,425,231,155,,0.67,
File,"ScheduledExecutorPingSender.java",,,6,92,53,26,,0.49,
File,"SendReceiveAsyncCallbackTest.java",,,18,366,271,28,,0.10,
File,"SendReceiveAsyncTest.java",,,11,783,601,88,,0.15,
File,"SendReceiveAsyncTest.java",,,10,753,573,89,,0.16,
File,"SendReceiveTest.java",,,8,508,396,63,,0.16,
File,"ServerAssignedClientIdentifierTest.java",,,1,59,36,10,,0.28,
File,"SimpleBase64Encoder.java",,,4,127,87,33,,0.38,
File,"SimpleBase64Encoder.java",,,4,127,87,33,,0.38,
File,"SimpleLogFormatter.java",,,3,104,65,32,,0.49,
File,"SimpleLogFormatter.java",,,3,104,65,32,,0.49,
File,"StringUtilities.java",,,11,226,118,87,,0.74,
File,"StringUtilities.java",,,11,223,115,87,,0.76,
File,"StringValidationTest.java",,,2,21,15,0,,0.00,
File,"Strings.java",,,9,173,86,73,,0.85,
File,"Strings.java",,,9,173,86,73,,0.85,
File,"SubPanel.java",,,8,399,237,109,,0.46,
File,"SubscribeTests.java",,,3,112,91,2,,0.02,
File,"TCPNetworkModule.java",,,7,133,60,60,,1.00,
File,"TCPNetworkModule.java",,,7,113,58,43,,0.74,
File,"TCPNetworkModuleFactory.java",,,3,64,48,11,,0.23,
File,"TCPNetworkModuleFactory.java",,,3,63,47,11,,0.23,
File,"TLSHostnameVerificationTest.java",,,5,182,98,57,,0.58,
File,"TestByteArrayMemoryPersistence.java",,,16,148,76,49,,0.64,
File,"TestClientUtilities.java",,,2,48,40,0,,0.00,
File,"TestMemoryPersistence.java",,,8,97,34,49,,1.44,
File,"TestMemoryPersistence.java",,,15,132,62,49,,0.79,
File,"TestProperties.java",,,18,457,234,151,,0.65,
File,"TestProperties.java",,,18,457,234,151,,0.65,
File,"TimerPingSender.java",,,5,82,44,25,,0.57,
File,"TimerPingSender.java",,,7,121,77,28,,0.36,
File,"Token.java",,,40,493,313,113,,0.36,
File,"Token.java",,,37,394,265,69,,0.26,
File,"TopicAliasReconnectTest.java",,,3,156,108,28,,0.26,
File,"TraceFormatter.java",,,5,135,78,38,,0.49,
File,"TraceFormatter.java",,,5,135,78,38,,0.49,
File,"UserProperty.java",,,6,40,32,0,,0.00,
File,"Utility.java",,,5,106,57,36,,0.63,
File,"Utility.java",,,5,106,57,36,,0.63,
File,"Validators.java",,,2,28,18,6,,0.33,
File,"VariableByteInteger.java",,,4,53,18,30,,1.67,
File,"WebSocketFrame.java",,,13,306,176,83,,0.47,
File,"WebSocketFrame.java",,,13,315,176,103,,0.59,
File,"WebSocketHandshake.java",,,7,229,149,56,,0.38,
File,"WebSocketHandshake.java",,,7,230,142,65,,0.46,
File,"WebSocketNetworkModule.java",,,8,108,66,25,,0.38,
File,"WebSocketNetworkModule.java",,,9,111,69,25,,0.36,
File,"WebSocketNetworkModuleFactory.java",,,3,61,44,12,,0.27,
File,"WebSocketNetworkModuleFactory.java",,,3,59,42,12,,0.29,
File,"WebSocketReceiver.java",,,7,146,91,36,,0.40,
File,"WebSocketReceiver.java",,,7,146,91,36,,0.40,
File,"WebSocketSecureNetworkModule.java",,,8,107,66,22,,0.33,
File,"WebSocketSecureNetworkModule.java",,,9,111,68,22,,0.32,
File,"WebSocketSecureNetworkModuleFactory.java",,,3,82,61,14,,0.23,
File,"WebSocketSecureNetworkModuleFactory.java",,,3,80,59,14,,0.24,
File,"WebSocketTest.java",,,11,359,251,53,,0.21,
Public Implicit Method,"clone",,,,,,,,0.00,
Package,"org",,,0,0,0,0,,0.00,
Package,"org.eclipse",,,0,0,0,0,,0.00,
Package,"org.eclipse.paho",,,0,0,0,0,,0.00,
Package,"org.eclipse.paho.client",,,0,0,0,0,,0.00,
Package,"org.eclipse.paho.client.mqttv3",,,358,6823,1614,4676,,2.90,
Public Class,"org.eclipse.paho.client.mqttv3.BufferedMessage",0,15,3,38,14,20,1,1.43,33
Public Constructor,"org.eclipse.paho.client.mqttv3.BufferedMessage.BufferedMessage",,,,4,4,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.BufferedMessage.getMessage",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.BufferedMessage.getToken",,,,3,3,0,,0.00,
Public Class,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions",0,21,9,89,39,36,1,0.92,88
Public Constructor,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.DisconnectedBufferOptions",,,,16,2,14,,7.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.getBufferSize",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.isBufferEnabled",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.isDeleteOldestMessages",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.isPersistBuffer",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.setBufferEnabled",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.setBufferSize",,,,6,6,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.setDeleteOldestMessages",,,,3,3,0,,0.00,
Public Method,"org.eclipse.paho.client.mqttv3.DisconnectedBufferOptions.setPersistBuffer",,,,3,3,0,,0.00,
Public Interface,"org.eclipse.paho.client.mqttv3.IMqttActionListener",10,2,2,18,4,14,0,3.50,0
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttActionListener.onFailure",,,,11,1,10,,10.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttActionListener.onSuccess",,,,5,1,4,,4.00,
Public Interface,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient",1,38,37,779,46,693,1,15.07,0
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.close",,,,7,1,6,,6.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.connect",,,,12,1,11,,11.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.connect",,,,14,1,13,,13.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.connect",,,,16,1,15,,15.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.connect",,,,26,1,25,,25.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnect",,,,18,1,17,,17.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnect",,,,14,1,13,,13.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnect",,,,16,1,15,,15.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnect",,,,34,1,33,,33.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnectForcibly",,,,11,1,10,,10.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnectForcibly",,,,11,1,10,,10.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.disconnectForcibly",,,,13,1,12,,12.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.getClientId",,,,9,1,8,,8.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.getPendingDeliveryTokens",,,,15,1,14,,14.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.getServerURI",,,,9,1,8,,8.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.isConnected",,,,6,1,5,,5.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.messageArrivedComplete",,,,8,1,7,,7.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.publish",,,,23,2,21,,10.50,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.publish",,,,27,2,25,,12.50,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.publish",,,,16,1,15,,15.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.publish",,,,70,2,68,,34.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.reconnect",,,,5,1,4,,4.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.removeMessage",,,,16,1,15,,15.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.setCallback",,,,18,1,17,,17.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.setManualAcks",,,,10,1,9,,9.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,15,1,14,,14.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,20,2,18,,9.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,18,1,17,,17.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,110,2,108,,54.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,20,1,19,,19.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,16,1,15,,15.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,19,1,18,,18.00,
Public Abstract Method,"org.eclipse.paho.client.mqttv3.IMqttAsyncClient.subscribe",,,,23,1,22,,22.00,
