Kind,Name,CountLine,CountLineCode,CountLineComment,CountDeclMethodAll,CountDeclMethod,CountClassDerived,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree
Private Method,edu.uci.ics.jung.algorithms.flows.EdmondsKarpMaxFlow.updateResidualCapacities,22,17,1,,,,0.06,,
Public Class,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow,170,127,1,5,5,0,0.01,0,2
Protected Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.setUp,1,1,0,,,,0,,
Public Static Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.suite,3,3,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testAnotherSimpleFlow,52,38,0,,,,0,,
Anonymous Class,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testAnotherSimpleFlow.(Anon_2),6,5,0,1,1,0,0,0,2
Public Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testAnotherSimpleFlow.(Anon_2).get,3,3,0,,,,0,,
Lambda Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testAnotherSimpleFlow.(lambda_expr_1),1,1,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testSanityChecks,31,26,0,,,,0,,
Public Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testSimpleFlow,74,56,0,,,,0,,
Anonymous Class,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testSimpleFlow.(Anon_1),6,5,0,1,1,0,0,0,2
Public Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testSimpleFlow.(Anon_1).get,3,3,0,,,,0,,
Lambda Method,edu.uci.ics.jung.algorithms.flows.TestEdmondsKarpMaxFlow.testSimpleFlow.(lambda_expr_1),1,1,0,,,,0,,
Package,edu.uci.ics.jung.algorithms.generators,372,271,60,,25,,0.22,,
Public Generic Class,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator,187,116,51,5,5,0,0.44,46,1
TypeVariable,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.E,0,0,0,0,0,0,0,0,1
Public Constructor,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.Lattice2DGenerator,18,7,11,,,,1.57,,
Private Class,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance,63,49,8,5,5,0,0.16,70,1
Anonymous Class,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.(Anon_1),10,10,0,1,1,0,0,0,2
Public Method,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.(Anon_1).load,9,9,0,,,,0,,
Anonymous Class,edu.uci.ics.jung.algorithms.generators.Lattice2DGenerator.LatticeDistance.(Anon_1).load.(Anon_2),4,4,0,1,1,0,0,0,2
